,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Date,Date Before,Date After,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B1dx,B2dx,B3dx,B4dx,B5dx,B6dx,B7dx,B8dx,B9dx,B10dx,B11dx,B12dx,B1dx2,B2dx2,B3dx2,B4dx2,B5dx2,B6dx2,B7dx2,B8dx2,B9dx2,B10dx2,B11dx2,B1cr,B2cr,B3cr,B4cr,B5cr,B6cr,B7cr,B8cr,B9cr,B10cr,B11cr,B12cr,NDVI,GNDVI,EVI,SAVI,BSI,ARVI
0,46364808,9.0,36.0,55.0,4.9,5.2,1.73,2.8,1,11.2,0.3,8.0,66.24215612399999,16.962009904000002,2015-07-26,2015-07-09,2015-08-12,8619,8467,7873,8277,8351,8508,8672,8446,8723,4556,592,3807,3322,-3058350100.60362,-8813056379.82196,3854961832.0610714,1873417721.5189872,4313186813.186803,3877068557.9196215,-4520000000.000005,8683385579.937315,-51828358208.95522,-9253034547.152191,13384679433.805172,-823849159.1642603,-1.1578885873678746e+17,1.8795279246117264e+17,-1.890786365021074e+16,6.176630611817254e+16,-1.1981270749098362e+16,-1.9851225905247344e+17,2.6406771159874672e+17,-1.8969198679903642e+18,5.295438266393412e+17,5.2842469610077864e+16,-5.915290838038902e+16,1.0,0.9809704998930922,0.9103987716982458,0.9542655516674664,0.9617177540159604,0.9787870265797632,0.9964590641303555,0.9691182885888703,1.0,0.5424853923622723,0.08877284156272308,0.668024567647113,0.010105842253184238,0.035112445615540167,-0.07833503290998424,0.014430773403634708,-0.1665344690830086,0.010726984790988138
1,46044840,10.0,43.0,47.0,4.8,5.34,5.79,26.0,1,9.3,1.6,19.4,66.557553975,16.329575965,2015-08-03,2015-07-17,2015-08-20,4617,4393,3873,3939,3928,4105,4245,3993,4280,1432,119,2080,1411,-4507042253.521124,-7715133531.157272,629770992.3664126,-278481012.6582278,4862637362.637351,3309692671.3947988,-5040000000.000006,8996865203.761766,-35422885572.1393,-3064892623.716152,8164029975.020822,-1136402242.2286394,-6.4549120274369144e+16,1.238116398148915e+17,-8666526765502300.0,1.3015489557710325e+17,-4.266331569347661e+16,-1.9739226173510173e+17,2.8073730407523574e+17,-1.3924686763605366e+18,4.024625988609844e+17,2.621130391862038e+16,-3.871953462635082e+16,1.0,0.9597338531167358,0.8561979804928599,0.8872030259281936,0.8910562064185745,0.9373893745690649,0.9768943083782542,0.9274238799791051,1.0,0.34862511948812247,0.0373185417284398,0.7779771982189166,0.00680786686838124,0.015255530129672006,-0.02537832503054798,0.009721109350125837,-0.16431794515793127,0.031234628627643875
2,45564752,10.0,35.0,55.0,4.2,4.32,14.51,29.3,1,16.2,1.9,34.2,65.80091196,15.102547762,2015-07-14,2015-06-27,2015-07-31,7741,7636,7074,7428,7454,7603,7768,7496,7778,3913,966,3830,3313,-2112676056.338027,-8338278931.750744,3377862595.4198494,658227848.1012658,4093406593.4065833,3900709219.8581557,-5440000000.000006,8840125391.84954,-48072139303.48258,-6879084967.32026,11923397169.02582,-878206217.0885001,-1.252636393443202e+17,1.7382999298472694e+17,-2.595071323777276e+16,8.696655051405866e+16,-5293883888693053.0,-2.2082054893281706e+17,2.8560250783699123e+17,-1.7840835327690342e+18,5.1235142209157114e+17,4.389001432387039e+16,-5.329560110788646e+16,1.0,0.9858808864836295,0.9126249868275627,0.9571602879258782,0.9600821493567064,0.9788711093923015,0.9996372075784674,0.9640905738826955,1.0,0.5210636358765869,0.15888895176156576,0.7256572539451893,0.004556419190565532,0.02896362388469458,-0.03266090297790586,0.006506380010007753,-0.14679802955665025,0.009203681472589036
3,45764748,7.0,45.0,48.0,4.2,4.62,5.66,10.2,0,17.2,0.8,14.4,65.751103038,15.527447434,2015-07-15,2015-06-28,2015-08-01,6305,6139,5754,6227,6286,6658,6873,6480,7004,2578,32,4279,2912,-3340040241.4486904,-5712166172.106827,4513358778.6259575,1493670886.0759492,10219780219.780195,5082742316.78487,-7860000000.000009,16426332288.401274,-55049751243.78109,-5943043884.220353,17681099084.0966,-2322065568.2011213,-4.772889196495242e+16,1.517140200405458e+17,-2.881381576860697e+16,2.2091416034694294e+17,-1.4112741491745365e+17,-3.059749956686732e+17,4.857266457680262e+17,-2.2406295778113618e+18,6.107799422830938e+17,5.51450582827193e+16,-8.327712178308798e+16,1.0,0.9610200886962805,0.8851533711140902,0.9328008121320505,0.9324246707865389,0.9787786879934907,1.0,0.9319750839715676,1.0,0.38147054275244924,0.005874157150170905,0.9079484541989055,0.019910285669316127,0.05934281510544385,-0.28756535576267334,0.028430930318865472,-0.09137297297297298,0.006580784110397639
4,45584738,8.0,42.0,50.0,4.5,4.97,24.1,35.2,0,8.5,3.5,16.4,65.673493862,15.121408682,2015-07-21,2015-07-04,2015-08-07,7472,7166,6643,6998,7065,7344,7605,7278,7620,4349,1107,1915,2105,-6156941649.899393,-7759643916.913949,3387404580.1526737,1696202531.6455696,7664835164.835146,6170212765.957447,-6540000000.000008,10721003134.796251,-40684079601.99004,-7567693744.1643305,3363863447.127396,322745031.4251741,-3.2247530523431692e+16,1.6538647621760573e+17,-1.6137424126976196e+16,1.5110462362505254e+17,-4.10610549142224e+16,-3.004778431668429e+17,3.452200626959255e+17,-1.611444599899259e+18,4.1189534649036954e+17,2.5517173649140348e+16,-1.2660776085354804e+16,1.0,0.9565589608096247,0.8836369581291311,0.9258112032259662,0.9327688883053815,0.9677855372831718,1.0,0.9558509909004096,1.0,0.596690878276506,0.20045829011693403,0.4225449931126216,0.019613337069207062,0.04561453918540335,-0.1563197856185797,0.028007005673968303,-0.23680267157597293,0.015752461322081576
5,45564742,7.0,46.0,47.0,5.3,5.59,20.4,12.6,0,5.4,1.4,10.0,65.710842774,15.085237848,2015-07-21,2015-07-04,2015-08-07,7252,6960,6430,6840,6887,7153,7361,7034,7430,4062,1071,1752,1898,-5875251509.054322,-7863501483.679527,3912213740.458018,1189873417.721519,7307692307.69229,4917257683.21513,-6540000000.000008,12413793103.448292,-41890547263.68159,-6981792717.086833,2835137385.5120754,248004076.77934432,-4.000502967052724e+16,1.7471387572904374e+17,-2.5976529797104012e+16,1.5488149088533597e+17,-6.567128089222953e+16,-2.7085715563156352e+17,3.790758620689664e+17,-1.7023304190322867e+18,4.341884893855069e+17,2.2915336373947024e+16,-1.0770746497638354e+16,1.0,0.9569689155179871,0.880653882895421,0.9311699802009277,0.9354466091503187,0.9695548759594321,0.9953411244219501,0.9484201103092873,1.0,0.5723134446590497,0.20109353599601956,0.4043814292909345,0.01398298976502811,0.04486036838978016,-0.11757575757575758,0.019967093418193527,-0.2391747099973435,0.011346390113463901
6,45764738,10.0,48.0,42.0,4.3,4.7,2.97,8.7,0,35.6,0.6,13.8,65.66108784800001,15.508742343,2015-07-22,2015-07-05,2015-08-08,3776,3615,3347,3449,3616,4113,4372,4147,4515,1704,79,3595,3155,-3239436619.718308,-3976261127.5964403,973282442.7480922,4227848101.2658224,13653846153.84612,6122931442.080378,-4500000000.000005,11536050156.739826,-34962686567.16418,-3793183940.242763,14637801831.806837,-747409546.458298,-1.4825442814449334e+16,7.343536454517112e+16,3.105501582555088e+16,2.3863286209064048e+17,-2.068932613122452e+17,-2.5113313101844877e+17,3.207210031347969e+17,-1.4576406496521649e+18,3.8768038093185837e+17,4.3022842605157784e+16,-6.4051671016924e+16,1.0,0.9357780421768638,0.8406993837264917,0.8281184211455237,0.8540217720407884,0.9569851373709521,1.0,0.929966255659652,1.0,0.38436728626528716,0.019761273321150637,0.9577692070155089,0.09189046866771984,0.10675206832132372,-0.7685531821184761,0.131212196047932,-0.04849385384303661,0.05893587994542974
7,45784742,6.0,58.0,35.0,4.2,4.62,8.27,9.8,0,0.0,0.8,21.6,65.695657061,15.55928053,2015-07-22,2015-07-05,2015-08-08,4077,4077,3780,3922,4050,4718,5004,4910,5142,1956,99,4026,3468,0.0,-4406528189.91098,1354961832.0610695,3240506329.113924,18351648351.648308,6761229314.420803,-1880000000.0000021,7272727272.727282,-39626865671.641785,-4334733893.557422,16348875936.719412,-947851197.5539324,-8.866253903241403e+16,8.548204780373963e+16,1.7991836803939464e+16,3.8256055753251603e+17,-3.184181054183373e+17,-2.042843809555746e+17,1.8305454545454586e+17,-1.4702066753720727e+18,4.389568629114971e+17,4.828106869812518e+16,-7.200968831920632e+16,1.0,0.9678416980558395,0.859838219767334,0.8377073508640704,0.845601540420853,0.9650819117909663,1.0,0.9649684830090448,1.0,0.38798844069181826,0.02197418357859601,0.9574999047936935,0.1118659420289855,0.13003452243958574,-1.1571796673694075,0.15973682434773315,-0.06135222911130794,0.06791040342225656
8,46024734,5.0,61.0,34.0,4.9,5.31,11.92,14.2,0,4.5,1.2,10.7,65.605601985,16.059400548,2015-07-23,2015-07-06,2015-08-09,4134,3937,3699,3872,4026,4510,4751,4493,4889,1908,185,3782,3180,-3963782696.17706,-3531157270.0296745,1650763358.778627,3898734177.2151895,13296703296.703264,5697399527.186761,-5160000000.000006,12413793103.448292,-37077114427.860695,-4021942110.1774035,14975020815.986689,-1022592152.1997622,8704736944615399.0,7.688309538291251e+16,2.145010322935653e+16,2.3792326884779936e+17,-2.087720815801232e+17,-2.566761117538243e+17,3.514758620689663e+17,-1.551439107564547e+18,4.111339840507872e+17,4.43439844214848e+16,-6.660121968437328e+16,1.0,0.932018657723381,0.8510413948737542,0.8535092392132481,0.8736553260052019,0.9648585030282139,1.0,0.9292178999911365,1.0,0.39863913658858935,0.04364263170071381,0.961826258352631,0.07423789599521817,0.096923828125,-0.8617818484596169,0.10600629160874973,-0.048246704799801046,0.042413750463707184
9,45004612,8.0,37.0,55.0,4.1,4.45,4.57,58.1,1,6.3,2.7,23.9,64.571459885,13.713340277999999,2015-10-24,2015-10-07,2015-11-10,5293,4885,4185,4645,4828,4998,5142,4942,5205,3898,1317,2814,2452,-8209255533.19919,-10385756676.557867,4389312977.099239,4632911392.405063,4670329670.329659,3404255319.1489363,-4000000000.0000043,8244514106.583082,-16256218905.472635,-6024743230.625582,6232306411.323901,-614914217.7679633,-4.379277954444015e+16,2.1921468328868115e+17,2324412359788392.0,947298175306247.8,-3.478226239507473e+16,-1.7504149690659434e+17,2.4489028213166198e+17,-7.680480568042554e+17,1.272571601349136e+17,2.8611226988677588e+16,-2.8506330678983636e+16,1.0,0.9247277273069007,0.7943315223052584,0.8853138323020426,0.9216396244567417,0.9554761996658935,0.9846653645032131,0.9482597598927522,1.0,0.7734839088684313,0.3167476150359599,0.7681073325482124,0.03097945134035673,0.0829407253204777,-0.19414302523205645,0.0442366816209728,-0.13698947124840913,0.028090181513835855
